Year,Electorate,Party,PVI
1996,Ikaroa-Rāwhiti,National,-0.284482837
1996,Ikaroa-Rāwhiti,NZ First,0.245252432
1996,Ikaroa-Rāwhiti,Other,0.066176486
1996,Ikaroa-Rāwhiti,United,-0.00776935
1996,Ilam,ACT,0.019226413
1996,Ilam,Alliance/Progressive,-0.015321377
1996,Ilam,Conservative,-0.001409258
1996,Ilam,Labour,-0.04177251
1996,Ilam,National,0.100117163
1996,Ilam,NZ First,-0.055147568
1996,Ilam,Other,-0.015423514
1996,Ilam,United,0.00973065
1996,Invercargill,ACT,-0.023377327
1996,Invercargill,Alliance/Progressive,-0.011630276
1996,Invercargill,Conservative,0.007985563
1996,Invercargill,Labour,0.008498563
1996,Invercargill,National,0.033480107
1996,Invercargill,NZ First,-0.005160347
1996,Invercargill,Other,-0.005826454
1996,Invercargill,United,-0.00396983
1996,Kaikōura,ACT,-0.002673587
1996,Kaikōura,Alliance/Progressive,0.033078623
1996,Kaikōura,Conservative,0.000690742
1996,Kaikōura,Labour,-0.05217251
1996,Kaikōura,National,0.023117163
1996,Kaikōura,NZ First,0.010352432
1996,Kaikōura,Other,-0.008120995
1996,Kaikōura,United,-0.00286935
1996,Kaipara ki Mahurangi,ACT,0.023751771
1996,Kaipara ki Mahurangi,Alliance/Progressive,-0.018196649
1996,Kaipara ki Mahurangi,Conservative,0.017109018
1996,Kaipara ki Mahurangi,Labour,-0.092416003
1996,Kaipara ki Mahurangi,National,0.050933568
1996,Kaipara ki Mahurangi,NZ First,0.019698226
1996,Kaipara ki Mahurangi,Other,0.000981469
1996,Kaipara ki Mahurangi,United,-0.001667219
1996,Kapiti,ACT,-0.005273587
1996,Kapiti,Alliance/Progressive,0.009978623
1996,Kapiti,Conservative,0.006090742
1996,Kapiti,Labour,-0.01557251
1996,Kapiti,National,0.037317163
1996,Kapiti,NZ First,-0.033847568
1996,Kapiti,Other,-0.002323514
1996,Kapiti,United,0.00363065
1996,Kenepuru,ACT,-0.014268936
1996,Kenepuru,Alliance/Progressive,-0.001011416
1996,Kenepuru,Conservative,0.000895212
1996,Kenepuru,Labour,0.073862954
1996,Kenepuru,National,-0.002849413
1996,Kenepuru,NZ First,-0.060440317
1996,Kenepuru,Other,-0.005020494
1996,Kenepuru,United,0.00883241
1996,Māngere,ACT,-0.041873587
1996,Māngere,Alliance/Progressive,-0.013721377
1996,Māngere,Conservative,-0.013509258
1996,Māngere,Labour,0.27492749
1996,Māngere,National,-0.171282837
1996,Māngere,NZ First,-0.034147568
1996,Māngere,Other,0.004070666
1996,Māngere,United,-0.00426935
1996,Manurewa,ACT,-0.025773587
1996,Manurewa,Alliance/Progressive,-0.014621377
1996,Manurewa,Conservative,0.000390742
1996,Manurewa,Labour,0.09512749
1996,Manurewa,National,-0.059982837
1996,Manurewa,NZ First,0.004052432
1996,Manurewa,Other,0.002270666
1996,Manurewa,United,-0.00126935
1996,Maungakiekie,ACT,0.022734764
1996,Maungakiekie,Alliance/Progressive,-0.019713286
1996,Maungakiekie,Conservative,-0.005505428
1996,Maungakiekie,Labour,0.037059273
1996,Maungakiekie,National,-0.003049433
1996,Maungakiekie,NZ First,-0.032237497
1996,Maungakiekie,Other,0.002180226
1996,Maungakiekie,United,-0.00146862
1996,Mt Albert,ACT,0.016126413
1996,Mt Albert,Alliance/Progressive,-0.013121377
1996,Mt Albert,Conservative,-0.008109258
1996,Mt Albert,Labour,0.08852749
1996,Mt Albert,National,-0.035582837
1996,Mt Albert,NZ First,-0.058247568
1996,Mt Albert,Other,0.011376486
1996,Mt Albert,United,-0.00096935
1996,Mt Maunganui,ACT,-0.018765185
1996,Mt Maunganui,Alliance/Progressive,-0.026506554
1996,Mt Maunganui,Conservative,0.014302364
1996,Mt Maunganui,Labour,-0.066329621
1996,Mt Maunganui,National,-0.002715963
1996,Mt Maunganui,NZ First,0.111501322
1996,Mt Maunganui,Other,-0.007617993
1996,Mt Maunganui,United,-0.00386837
1996,Mt Roskill,ACT,-0.002073587
1996,Mt Roskill,Alliance/Progressive,-0.022721377
1996,Mt Roskill,Conservative,0.020890742
1996,Mt Roskill,Labour,0.04312749
1996,Mt Roskill,National,-0.000382837
1996,Mt Roskill,NZ First,-0.036147568
1996,Mt Roskill,Other,-0.001529334
1996,Mt Roskill,United,-0.00096935
1996,Napier,ACT,-0.002579406
1996,Napier,Alliance/Progressive,0.017166844
1996,Napier,Conservative,-0.007212918
1996,Napier,Labour,0.034395973
1996,Napier,National,-0.034413104
1996,Napier,NZ First,-0.006760187
1996,Napier,Other,0.003072656
1996,Napier,United,-0.00366986
1996,Nelson,ACT,-0.005873587
1996,Nelson,Alliance/Progressive,0.020978623
1996,Nelson,Conservative,0.017490742
1996,Nelson,Labour,0.04362749
1996,Nelson,National,-0.036882837
1996,Nelson,NZ First,-0.034547568
1996,Nelson,Other,-0.002629334
1996,Nelson,United,-0.00196935
1996,New Plymouth,ACT,-0.015069016
1996,New Plymouth,Alliance/Progressive,-0.005011816
1996,New Plymouth,Conservative,0.003895513
1996,New Plymouth,Labour,-0.001144547
1996,New Plymouth,National,0.031954067
1996,New Plymouth,NZ First,-0.012435517
1996,New Plymouth,Other,-0.000220014
1996,New Plymouth,United,-0.00196867
1996,North Shore,ACT,0.076426413
1996,North Shore,Alliance/Progressive,-0.042621377
1996,North Shore,Conservative,-0.010909258
1996,North Shore,Labour,-0.07547251
1996,North Shore,National,0.092417163
1996,North Shore,NZ First,-0.036147568
1996,North Shore,Other,-0.007629334
1996,North Shore,United,0.00413065
1996,Northcote,ACT,0.041416194
1996,Northcote,Alliance/Progressive,-0.009930446
1996,Northcote,Conservative,-0.004513188
1996,Northcote,Labour,-0.036896897
1996,Northcote,National,0.047178737
1996,Northcote,NZ First,-0.037557107
1996,Northcote,Other,-0.004132424
1996,Northcote,United,0.00462931
1996,Northland,ACT,0.007219614
1996,Northland,Alliance/Progressive,0.008967664
1996,Northland,Conservative,0.001886173
1996,Northland,Labour,-0.085392048
1996,Northland,National,-0.007715773
1996,Northland,NZ First,0.081830954
1996,Northland,Other,-0.002832554
1996,Northland,United,-0.00376985
1996,Ōtāhuhu,ACT,-0.032667966
1996,Ōtāhuhu,Alliance/Progressive,-0.023906034
1996,Ōtāhuhu,Conservative,-0.012703037
1996,Ōtāhuhu,Labour,0.21742713
1996,Ōtāhuhu,National,-0.127640948
1996,Ōtāhuhu,NZ First,-0.018924763
1996,Ōtāhuhu,Other,0.001477967
1996,Ōtāhuhu,United,-0.00286817
1996,Pakuranga,ACT,0.050626413
1996,Pakuranga,Alliance/Progressive,-0.043921377
1996,Pakuranga,Conservative,0.001390742
1996,Pakuranga,Labour,-0.09237251
1996,Pakuranga,National,0.114317163
1996,Pakuranga,NZ First,-0.023147568
1996,Pakuranga,Other,-0.005329334
1996,Pakuranga,United,-0.00136935
1996,Palmerston North,ACT,-0.017069217
1996,Palmerston North,Alliance/Progressive,0.014290114
1996,Palmerston North,Conservative,0.014796603
1996,Palmerston North,Labour,0.029358503
1996,Palmerston North,National,-0.009750103
1996,Palmerston North,NZ First,-0.027236997
1996,Palmerston North,Other,-0.002426074
1996,Palmerston North,United,-0.00176865
1996,Papakura,ACT,0.007840136
1996,Papakura,Alliance/Progressive,-0.036408534
1996,Papakura,Conservative,0.000999704
1996,Papakura,Labour,-0.068430041
1996,Papakura,National,0.07079874
1996,Papakura,NZ First,0.008280678
1996,Papakura,Other,-0.003517173
1996,Papakura,United,0.020436491
1996,Port Waikato,ACT,0.011426413
1996,Port Waikato,Alliance/Progressive,-0.029321377
1996,Port Waikato,Conservative,-0.004409258
1996,Port Waikato,Labour,-0.09377251
1996,Port Waikato,National,0.084717163
1996,Port Waikato,NZ First,0.032052432
1996,Port Waikato,Other,-0.006923514
1996,Port Waikato,United,0.00623065
1996,Rangitata,ACT,-0.010273587
1996,Rangitata,Alliance/Progressive,0.022678623
1996,Rangitata,Conservative,-0.011109258
1996,Rangitata,Labour,0.01392749
1996,Rangitata,National,0.013217163
1996,Rangitata,NZ First,-0.018247568
1996,Rangitata,Other,-0.007393766
1996,Rangitata,United,-0.00256935
1996,Rangitīkei,ACT,-0.017877877
1996,Rangitīkei,Alliance/Progressive,0.021666394
1996,Rangitīkei,Conservative,0.011585203
1996,Rangitīkei,Labour,-0.015699017
1996,Rangitīkei,National,-0.004516093
1996,Rangitīkei,NZ First,0.017537384
1996,Rangitīkei,Other,-0.008831954
1996,Rangitīkei,United,-0.00366986
1996,Remutaka,ACT,-0.024877177
1996,Remutaka,Alliance/Progressive,0.012767284
1996,Remutaka,Conservative,0.008785483
1996,Remutaka,Labour,0.054094004
1996,Remutaka,National,-0.006115933
1996,Remutaka,NZ First,-0.036657197
1996,Remutaka,Other,-0.007826254
1996,Remutaka,United,-0.00017021
1996,Rotorua,ACT,-0.012864005
1996,Rotorua,Alliance/Progressive,-0.006802613
1996,Rotorua,Conservative,0.008601224
1996,Rotorua,Labour,-0.058628081
1996,Rotorua,National,0.025489678
1996,Rotorua,NZ First,0.0538898
1996,Rotorua,Other,-0.006917853
1996,Rotorua,United,-0.00276815
1996,Selwyn,ACT,0.007919544
1996,Selwyn,Alliance/Progressive,0.001768384
1996,Selwyn,Conservative,-0.001913448
1996,Selwyn,Labour,-0.082792308
1996,Selwyn,National,0.117571698
1996,Selwyn,NZ First,-0.030557807
1996,Selwyn,Other,-0.011725864
1996,Selwyn,United,-0.0002702
1996,Southland,ACT,0.005819754
1996,Southland,Alliance/Progressive,-0.026628776
1996,Southland,Conservative,0.018684493
1996,Southland,Labour,-0.088691718
1996,Southland,National,0.109772478
1996,Southland,NZ First,-0.010659797
1996,Southland,Other,-0.006126424
1996,Southland,United,-0.00217001
1996,Taieri,ACT,-0.032981924
1996,Taieri,Alliance/Progressive,0.029739515
1996,Taieri,Conservative,-0.007220235
1996,Taieri,Labour,0.094214994
1996,Taieri,National,-0.059965972
1996,Taieri,NZ First,-0.035476809
1996,Taieri,Other,-0.003233111
1996,Taieri,United,0.014923542
1996,Takanini,ACT,-0.001773587
1996,Takanini,Alliance/Progressive,-0.033821377
1996,Takanini,Conservative,0.002090742
1996,Takanini,Labour,0.01182749
1996,Takanini,National,0.034717163
1996,Takanini,NZ First,-0.015847568
1996,Takanini,Other,-0.002223514
1996,Takanini,United,0.00503065
1996,Tāmaki,ACT,0.115744065
1996,Tāmaki,Alliance/Progressive,-0.053016616
1996,Tāmaki,Conservative,-0.017306608
1996,Tāmaki,Labour,-0.073251758
1996,Tāmaki,National,0.087459618
1996,Tāmaki,NZ First,-0.050239297
1996,Tāmaki,Other,-0.009120904
1996,Tāmaki,United,-0.0002685
1996,Tāmaki Makaurau,ACT,-0.050875567
1996,Tāmaki Makaurau,Alliance/Progressive,-0.020537394
1996,Tāmaki Makaurau,Conservative,-0.028712277
1996,Tāmaki Makaurau,Labour,0.130245287
1996,Tāmaki Makaurau,National,-0.281293994
1996,Tāmaki Makaurau,NZ First,0.205284786
1996,Tāmaki Makaurau,Other,0.053988438
1996,Tāmaki Makaurau,United,-0.00786953
1996,Taranaki-King Country,ACT,0.006626413
1996,Taranaki-King Country,Alliance/Progressive,-0.019321377
1996,Taranaki-King Country,Conservative,0.006490742
1996,Taranaki-King Country,Labour,-0.10397251
1996,Taranaki-King Country,National,0.095817163
1996,Taranaki-King Country,NZ First,0.024852432
1996,Taranaki-King Country,Other,-0.008323514
1996,Taranaki-King Country,United,-0.00216935
1996,Taupō,ACT,-0.010273587
1996,Taupō,Alliance/Progressive,-0.022321377
1996,Taupō,Conservative,-0.001609258
1996,Taupō,Labour,-0.01847251
1996,Taupō,National,0.035117163
1996,Taupō,NZ First,0.028052432
1996,Taupō,Other,-0.007323514
1996,Taupō,United,-0.00316935
1996,Tauranga,ACT,-0.015069016
1996,Tauranga,Alliance/Progressive,-0.038015116
1996,Tauranga,Conservative,0.031898313
1996,Tauranga,Labour,-0.075351968
1996,Tauranga,National,-0.012350363
1996,Tauranga,NZ First,0.126778405
1996,Tauranga,Other,-0.014421434
1996,Tauranga,United,-0.00346882
1996,Te Tai Hauāuru,ACT,-0.050273587
1996,Te Tai Hauāuru,Alliance/Progressive,-0.015321377
1996,Te Tai Hauāuru,Conservative,-0.025009258
1996,Te Tai Hauāuru,Labour,0.04112749
1996,Te Tai Hauāuru,National,-0.279982837
1996,Te Tai Hauāuru,NZ First,0.258252432
1996,Te Tai Hauāuru,Other,0.079076486
1996,Te Tai Hauāuru,United,-0.00786935
