Year,Electorate,Party,PVI
2002,Te Tai Tonga,Conservative,-0.001473632
2002,Te Tai Tonga,Green,0.061091165
2002,Te Tai Tonga,Labour,0.090908454
2002,Te Tai Tonga,National,-0.139153021
2002,Te Tai Tonga,NZ First,0.018336503
2002,Te Tai Tonga,Other,0.049827093
2002,Te Tai Tonga,United,-0.035015212
2002,Tukituki,ACT,-0.001094019
2002,Tukituki,Alliance/Progressive,-0.008314688
2002,Tukituki,Conservative,0.010029869
2002,Tukituki,Green,-0.006209213
2002,Tukituki,Labour,-0.001659885
2002,Tukituki,National,0.009683677
2002,Tukituki,NZ First,-0.008456684
2002,Tukituki,Other,0.006826153
2002,Tukituki,United,-0.000805209
2002,Upper Harbour,ACT,0.053204409
2002,Upper Harbour,Alliance/Progressive,-0.009016889
2002,Upper Harbour,Conservative,-0.001673652
2002,Upper Harbour,Green,-0.025217466
2002,Upper Harbour,Labour,-0.073107948
2002,Upper Harbour,National,0.050765971
2002,Upper Harbour,NZ First,-6.5337E-05
2002,Upper Harbour,Other,-0.010678958
2002,Upper Harbour,United,0.015789869
2002,Waiariki,ACT,-0.065608022
2002,Waiariki,Alliance/Progressive,-0.004418949
2002,Waiariki,Conservative,-0.000974832
2002,Waiariki,Green,0.028778084
2002,Waiariki,Labour,0.112158279
2002,Waiariki,National,-0.171559952
2002,Waiariki,NZ First,0.059824332
2002,Waiariki,Other,0.081519432
2002,Waiariki,United,-0.039718372
2002,Waikato,ACT,0.018700959
2002,Waikato,Alliance/Progressive,-0.010517039
2002,Waikato,Conservative,0.000326548
2002,Waikato,Green,-0.024217366
2002,Waikato,Labour,-0.097610398
2002,Waikato,National,0.066267521
2002,Waikato,NZ First,0.044639133
2002,Waikato,Other,0.001122222
2002,Waikato,United,0.001288419
2002,Waimakariri,ACT,-0.020208022
2002,Waimakariri,Alliance/Progressive,0.001581051
2002,Waimakariri,Conservative,0.000825168
2002,Waimakariri,Green,-0.018921916
2002,Waimakariri,Labour,0.001858279
2002,Waimakariri,National,0.017840048
2002,Waimakariri,NZ First,0.015924332
2002,Waimakariri,Other,0.001319432
2002,Waimakariri,United,-0.000218372
2002,Wairarapa,ACT,-0.013513781
2002,Wairarapa,Alliance/Progressive,-0.004221489
2002,Wairarapa,Conservative,0.014022418
2002,Wairarapa,Green,-0.012127675
2002,Wairarapa,Labour,-0.028579947
2002,Wairarapa,National,0.03991521
2002,Wairarapa,NZ First,0.013512643
2002,Wairarapa,Other,0.001616592
2002,Wairarapa,United,-0.010623971
2002,Waitākere,ACT,0.000391978
2002,Waitākere,Alliance/Progressive,0.006381051
2002,Waitākere,Conservative,0.000825168
2002,Waitākere,Green,0.026978084
2002,Waitākere,Labour,0.037558279
2002,Waitākere,National,-0.066859952
2002,Waitākere,NZ First,0.004124332
2002,Waitākere,Other,-0.009880568
2002,Waitākere,United,0.000481628
2002,Waitaki,ACT,-0.020913041
2002,Waitaki,Alliance/Progressive,-0.003821529
2002,Waitaki,Conservative,0.000323788
2002,Waitaki,Green,-0.006728215
2002,Waitaki,Labour,-0.000182787
2002,Waitaki,National,0.061013101
2002,Waitaki,NZ First,-0.023583647
2002,Waitaki,Other,0.005716182
2002,Waitaki,United,-0.011823851
2002,Wellington Bays,ACT,0.003899479
2002,Wellington Bays,Alliance/Progressive,0.013385351
2002,Wellington Bays,Conservative,-0.006574142
2002,Wellington Bays,Green,0.072892345
2002,Wellington Bays,Labour,0.026402003
2002,Wellington Bays,National,-0.04144325
2002,Wellington Bays,NZ First,-0.052970627
2002,Wellington Bays,Other,-0.008878778
2002,Wellington Bays,United,-0.006712381
2002,Wellington North,ACT,0.054504539
2002,Wellington North,Alliance/Progressive,0.007284741
2002,Wellington North,Conservative,-0.008974382
2002,Wellington North,Green,0.065991655
2002,Wellington North,Labour,-0.056906327
2002,Wellington North,National,0.01946284
2002,Wellington North,NZ First,-0.071472478
2002,Wellington North,Other,-0.014379328
2002,Wellington North,United,0.004488739
2002,West Coast-Tasman,ACT,-0.028808022
2002,West Coast-Tasman,Alliance/Progressive,0.004481051
2002,West Coast-Tasman,Conservative,0.003325168
2002,West Coast-Tasman,Green,0.028978084
2002,West Coast-Tasman,Labour,-0.068941721
2002,West Coast-Tasman,National,0.008440048
2002,West Coast-Tasman,NZ First,0.004324332
2002,West Coast-Tasman,Other,0.048619432
2002,West Coast-Tasman,United,-0.000418372
2002,Whanganui,ACT,-0.027703682
2002,Whanganui,Alliance/Progressive,0.003884401
2002,Whanganui,Conservative,0.012127728
2002,Whanganui,Green,-0.008215765
2002,Whanganui,Labour,-0.030803717
2002,Whanganui,National,0.03766466
2002,Whanganui,NZ First,0.021136783
2002,Whanganui,Other,-0.001378028
2002,Whanganui,United,-0.006712381
2002,Whangaparāoa,ACT,0.024982369
2002,Whangaparāoa,Alliance/Progressive,-0.010420869
2002,Whangaparāoa,Conservative,-0.003875792
2002,Whangaparāoa,Green,-0.018027085
2002,Whangaparāoa,Labour,-0.075675238
2002,Whangaparāoa,National,0.01911729
2002,Whangaparāoa,NZ First,0.047909204
2002,Whangaparāoa,Other,-0.009182328
2002,Whangaparāoa,United,0.025172449
2002,Whangārei,ACT,0.009091978
2002,Whangārei,Alliance/Progressive,-0.006418949
2002,Whangārei,Conservative,0.011425168
2002,Whangārei,Green,-0.003621916
2002,Whangārei,Labour,-0.056441721
2002,Whangārei,National,0.019640048
2002,Whangārei,NZ First,0.052424332
2002,Whangārei,Other,-0.005180568
2002,Whangārei,United,-0.020918372
2002,Wigram,ACT,-0.025003412
2002,Wigram,Alliance/Progressive,0.046688682
2002,Wigram,Conservative,0.001426658
2002,Wigram,Green,-0.016516595
2002,Wigram,Labour,0.033602723
2002,Wigram,National,-0.01784089
2002,Wigram,NZ First,-0.025067837
2002,Wigram,Other,-0.002178108
2002,Wigram,United,0.004888779
2005,Auckland Central,ACT,0.00302476
2005,Auckland Central,Alliance/Progressive,-0.003782468
2005,Auckland Central,Conservative,-0.004449212
2005,Auckland Central,Green,0.081196425
2005,Auckland Central,Labour,0.03852785
2005,Auckland Central,Māori,-0.014810039
2005,Auckland Central,National,-0.051978459
2005,Auckland Central,NZ First,-0.029810757
2005,Auckland Central,Other,-0.002798541
2005,Auckland Central,United,-0.01511956
2005,Banks Peninsula,ACT,-0.00457495
2005,Banks Peninsula,Alliance/Progressive,0.012121563
2005,Banks Peninsula,Conservative,-0.004248872
2005,Banks Peninsula,Green,0.048003178
2005,Banks Peninsula,Labour,-0.002035498
2005,Banks Peninsula,Māori,-0.019110269
2005,Banks Peninsula,National,-0.014637268
2005,Banks Peninsula,NZ First,-0.021506386
2005,Banks Peninsula,Other,-0.002297771
2005,Banks Peninsula,United,0.008286271
2005,Botany,ACT,0.018729711
2005,Botany,Alliance/Progressive,-0.003081478
2005,Botany,Conservative,0.000452068
2005,Botany,Green,-0.030912605
2005,Botany,Labour,-0.148264744
2005,Botany,Māori,-0.019810409
2005,Botany,National,0.208707401
2005,Botany,NZ First,-0.014504985
2005,Botany,Other,-0.004998311
2005,Botany,United,-0.006316649
2005,Christchurch Central,ACT,-0.00487603
2005,Christchurch Central,Alliance/Progressive,0.016719582
2005,Christchurch Central,Conservative,-0.002849052
2005,Christchurch Central,Green,0.033191625
2005,Christchurch Central,Labour,0.04922892
2005,Christchurch Central,Māori,-0.018110369
2005,Christchurch Central,National,-0.066279889
2005,Christchurch Central,NZ First,-0.016509427
2005,Christchurch Central,Other,0.002702009
2005,Christchurch Central,United,0.00678263
2005,Christchurch East,ACT,-0.00697705
2005,Christchurch East,Alliance/Progressive,0.014816682
2005,Christchurch East,Conservative,-0.001249512
2005,Christchurch East,Green,0.011883034
2005,Christchurch East,Labour,0.120283085
2005,Christchurch East,Māori,-0.018210669
2005,Christchurch East,National,-0.117012183
2005,Christchurch East,NZ First,-0.010013467
2005,Christchurch East,Other,0.000800789
2005,Christchurch East,United,0.00567929
2005,Coromandel,ACT,0.000125991
2005,Coromandel,Alliance/Progressive,-0.001981258
2005,Coromandel,Conservative,-0.000948212
2005,Coromandel,Green,0.021897957
2005,Coromandel,Labour,-0.088352762
2005,Coromandel,Māori,-0.016509749
2005,Coromandel,National,0.046674995
2005,Coromandel,NZ First,0.042606437
2005,Coromandel,Other,-0.000897491
2005,Coromandel,United,-0.002615909
2005,Dunedin,ACT,-0.00507705
2005,Dunedin,Alliance/Progressive,0.002616682
2005,Dunedin,Conservative,-0.003949512
2005,Dunedin,Green,0.057083034
2005,Dunedin,Labour,0.128183085
2005,Dunedin,Māori,-0.018210669
2005,Dunedin,National,-0.131012183
2005,Dunedin,NZ First,-0.026813467
2005,Dunedin,Other,-0.002799211
2005,Dunedin,United,-2.071E-05
2005,East Cape,ACT,-0.0075763
2005,East Cape,Alliance/Progressive,-0.002882378
2005,East Cape,Conservative,0.003451578
2005,East Cape,Green,-0.012812976
2005,East Cape,Labour,-0.027478751
2005,East Cape,Māori,-0.005009059
2005,East Cape,National,0.028929632
2005,East Cape,NZ First,0.020194244
2005,East Cape,Other,-0.002098471
2005,East Cape,United,0.00528248
2005,East Coast Bays,ACT,0.01182295
2005,East Coast Bays,Alliance/Progressive,-0.004383318
2005,East Coast Bays,Conservative,0.004350488
2005,East Coast Bays,Green,-0.016116966
2005,East Coast Bays,Labour,-0.135616915
2005,East Coast Bays,Māori,-0.018610669
2005,East Coast Bays,National,0.177287817
2005,East Coast Bays,NZ First,-0.011513467
2005,East Coast Bays,Other,-0.004099211
2005,East Coast Bays,United,-0.00312071
2005,Epsom,ACT,0.01772623
2005,Epsom,Alliance/Progressive,-0.006182708
2005,Epsom,Conservative,-0.004749242
2005,Epsom,Green,0.006188925
2005,Epsom,Labour,-0.122288232
2005,Epsom,Māori,-0.018010359
2005,Epsom,National,0.174444183
2005,Epsom,NZ First,-0.033211097
2005,Epsom,Other,-0.004698731
2005,Epsom,United,-0.00921897
2005,Glendene,ACT,0.003128412
2005,Glendene,Alliance/Progressive,2.03731E-05
2005,Glendene,Conservative,0.002253399
2005,Glendene,Green,-0.011504602
2005,Glendene,Labour,0.131445254
2005,Glendene,Māori,-0.014708748
2005,Glendene,National,-0.109528277
2005,Glendene,NZ First,-0.002297082
2005,Glendene,Other,0.00180418
2005,Glendene,United,-0.000612908
2005,Hamilton East,ACT,0.00402295
2005,Hamilton East,Alliance/Progressive,-0.002383318
2005,Hamilton East,Conservative,-0.003449512
2005,Hamilton East,Green,0.004683034
2005,Hamilton East,Labour,-0.038216915
2005,Hamilton East,Māori,-0.014710669
2005,Hamilton East,National,0.043987817
2005,Hamilton East,NZ First,0.000886533
2005,Hamilton East,Other,-0.002999211
2005,Hamilton East,United,0.00817929
2005,Hamilton West,ACT,0.000719791
2005,Hamilton West,Alliance/Progressive,-0.001385498
2005,Hamilton West,Conservative,-0.000950812
2005,Hamilton West,Green,-0.014224664
2005,Hamilton West,Labour,0.008999462
2005,Hamilton West,Māori,-0.014412009
2005,Hamilton West,National,0.002509473
2005,Hamilton West,NZ First,0.016971756
2005,Hamilton West,Other,-1.11061E-06
2005,Hamilton West,United,0.001773611
2005,Hauraki-Waikato,ACT,-0.01227677
2005,Hauraki-Waikato,Alliance/Progressive,-0.009283018
2005,Hauraki-Waikato,Conservative,0.009452178
2005,Hauraki-Waikato,Green,-0.025714266
2005,Hauraki-Waikato,Labour,0.139837981
2005,Hauraki-Waikato,Māori,0.249116354
2005,Hauraki-Waikato,National,-0.349508212
2005,Hauraki-Waikato,NZ First,0.003892614
2005,Hauraki-Waikato,Other,0.017303469
2005,Hauraki-Waikato,United,-0.02282033
2005,Henderson,ACT,0.00092295
2005,Henderson,Alliance/Progressive,-0.001183318
2005,Henderson,Conservative,0.002750488
2005,Henderson,Green,-0.017716966
2005,Henderson,Labour,0.081683085
2005,Henderson,Māori,-0.013910669
2005,Henderson,National,-0.057912183
2005,Henderson,NZ First,-0.000813467
2005,Henderson,Other,0.001400789
2005,Henderson,United,0.00477929
2005,Hutt South,ACT,-0.00167571
2005,Hutt South,Alliance/Progressive,-0.001982288
2005,Hutt South,Conservative,-0.002148982
2005,Hutt South,Green,0.005888895
2005,Hutt South,Labour,0.04162816
2005,Hutt South,Māori,-0.016210179
2005,Hutt South,National,-0.019875249
2005,Hutt South,NZ First,-0.020909867
2005,Hutt South,Other,-0.001798441
2005,Hutt South,United,0.01708366
2005,Ikaroa-Rāwhiti,ACT,-0.01337654
2005,Ikaroa-Rāwhiti,Alliance/Progressive,-0.009282418
2005,Ikaroa-Rāwhiti,Conservative,0.0122564
2005,Ikaroa-Rāwhiti,Green,-0.027209314
2005,Ikaroa-Rāwhiti,Labour,0.167856177
2005,Ikaroa-Rāwhiti,Māori,0.251371076
2005,Ikaroa-Rāwhiti,National,-0.36130381
2005,Ikaroa-Rāwhiti,NZ First,-0.010399513
2005,Ikaroa-Rāwhiti,Other,0.012807481
2005,Ikaroa-Rāwhiti,United,-0.02271954
2005,Ilam,ACT,0.00262295
2005,Ilam,Alliance/Progressive,0.001916682
2005,Ilam,Conservative,-0.004849512
2005,Ilam,Green,-0.002016966
2005,Ilam,Labour,-0.055916915
2005,Ilam,Māori,-0.019410669
2005,Ilam,National,0.092687817
2005,Ilam,NZ First,-0.021113467
2005,Ilam,Other,-0.003999211
2005,Ilam,United,0.01007929
2005,Invercargill,ACT,-0.000974229
2005,Invercargill,Alliance/Progressive,-0.000380938
2005,Invercargill,Conservative,-0.000448112
2005,Invercargill,Green,-0.023611145
2005,Invercargill,Labour,0.003765662
2005,Invercargill,Māori,-0.017810009
2005,Invercargill,National,0.041874035
2005,Invercargill,NZ First,-0.008903865
2005,Invercargill,Other,0.000802849
2005,Invercargill,United,0.005685751
2005,Kaikōura,ACT,-0.0005756
2005,Kaikōura,Alliance/Progressive,0.004818392
2005,Kaikōura,Conservative,-0.002248992
2005,Kaikōura,Green,0.004788785
2005,Kaikōura,Labour,-0.050281031
2005,Kaikōura,Māori,-0.017310289
2005,Kaikōura,National,0.059132652
2005,Kaikōura,NZ First,0.001492374
2005,Kaikōura,Other,-0.001298391
2005,Kaikōura,United,0.0014821
2005,Kaipara ki Mahurangi,ACT,0.00482295
2005,Kaipara ki Mahurangi,Alliance/Progressive,-0.004083318
2005,Kaipara ki Mahurangi,Conservative,-0.001149512
2005,Kaipara ki Mahurangi,Green,0.002983034
2005,Kaipara ki Mahurangi,Labour,-0.142516915
2005,Kaipara ki Mahurangi,Māori,-0.016510669
2005,Kaipara ki Mahurangi,National,0.136987817
2005,Kaipara ki Mahurangi,NZ First,0.019186533
2005,Kaipara ki Mahurangi,Other,-0.001799211
2005,Kaipara ki Mahurangi,United,0.00207929
2005,Kapiti,ACT,-0.00317705
2005,Kapiti,Alliance/Progressive,0.002216682
2005,Kapiti,Conservative,-0.002949512
2005,Kapiti,Green,0.009883034
2005,Kapiti,Labour,-0.031316915
2005,Kapiti,Māori,-0.016010669
2005,Kapiti,National,0.035287817
2005,Kapiti,NZ First,-0.006413467
2005,Kapiti,Other,-0.003499211
2005,Kapiti,United,0.01597929
2005,Kenepuru,ACT,-0.00407705
2005,Kenepuru,Alliance/Progressive,-0.002483318
2005,Kenepuru,Conservative,0.000650488
2005,Kenepuru,Green,-0.007116966
2005,Kenepuru,Labour,0.098383085
2005,Kenepuru,Māori,-0.014210669
2005,Kenepuru,National,-0.071212183
2005,Kenepuru,NZ First,-0.021913467
2005,Kenepuru,Other,-0.001799211
2005,Kenepuru,United,0.02377929
2005,Māngere,ACT,-0.01047751
2005,Māngere,Alliance/Progressive,0.003315122
2005,Māngere,Conservative,0.010148728
2005,Māngere,Green,-0.035418696
2005,Māngere,Labour,0.324009773
2005,Māngere,Māori,-0.009711809
2005,Māngere,National,-0.265624541
2005,Māngere,NZ First,-0.017317427
2005,Māngere,Other,0.011298709
2005,Māngere,United,-0.01022235
2005,Manurewa,ACT,-0.00717626
2005,Manurewa,Alliance/Progressive,0.004318342
2005,Manurewa,Conservative,0.006651898
2005,Manurewa,Green,-0.032714966
2005,Manurewa,Labour,0.203544352
2005,Manurewa,Māori,-0.007709329
2005,Manurewa,National,-0.16568983
2005,Manurewa,NZ First,0.000892314
2005,Manurewa,Other,0.005902329
2005,Manurewa,United,-0.00801885
2005,Maungakiekie,ACT,0.00672295
2005,Maungakiekie,Alliance/Progressive,-0.000383318
2005,Maungakiekie,Conservative,0.001150488
2005,Maungakiekie,Green,-0.006816966
2005,Maungakiekie,Labour,0.051083085
2005,Maungakiekie,Māori,-0.016710669
2005,Maungakiekie,National,-0.014712183
2005,Maungakiekie,NZ First,-0.016513467
2005,Maungakiekie,Other,-0.000299211
2005,Maungakiekie,United,-0.00352071
2005,Mt Albert,ACT,0.00542295
2005,Mt Albert,Alliance/Progressive,-0.001083318
2005,Mt Albert,Conservative,-0.002249512
2005,Mt Albert,Green,0.039683034
2005,Mt Albert,Labour,0.105683085
2005,Mt Albert,Māori,-0.016410669
2005,Mt Albert,National,-0.099412183
2005,Mt Albert,NZ First,-0.023613467
2005,Mt Albert,Other,-0.002099211
2005,Mt Albert,United,-0.00592071
2005,Mt Maunganui,ACT,-0.00697543
2005,Mt Maunganui,Alliance/Progressive,-0.004581778
2005,Mt Maunganui,Conservative,-4.80317E-05
2005,Mt Maunganui,Green,-0.017309885
2005,Mt Maunganui,Labour,-0.115858263
2005,Mt Maunganui,Māori,-0.017009849
2005,Mt Maunganui,National,0.087783216
2005,Mt Maunganui,NZ First,0.065711058
2005,Mt Maunganui,Other,-0.002897891
2005,Mt Maunganui,United,0.011186852
2005,Mt Roskill,ACT,0.010217891
2005,Mt Roskill,Alliance/Progressive,0.000114203
2005,Mt Roskill,Conservative,0.000148968
2005,Mt Roskill,Green,-0.017324045
2005,Mt Roskill,Labour,0.092782705
2005,Mt Roskill,Māori,-0.017711349
2005,Mt Roskill,National,-0.051779669
2005,Mt Roskill,NZ First,-0.016921465
2005,Mt Roskill,Other,0.000698749
2005,Mt Roskill,United,-0.000225989
2005,Napier,ACT,-0.00377592
2005,Napier,Alliance/Progressive,-0.002182308
2005,Napier,Conservative,-0.000748842
2005,Napier,Green,-0.006612355
2005,Napier,Labour,-0.008576861
2005,Napier,Māori,-0.015310089
2005,Napier,National,0.041330872
2005,Napier,NZ First,-0.000307806
2005,Napier,Other,-0.001498411
2005,Napier,United,-0.00231828
2005,Nelson,ACT,-0.00477602
2005,Nelson,Alliance/Progressive,0.000217932
2005,Nelson,Conservative,0.006351868
2005,Nelson,Green,0.026690975
2005,Nelson,Labour,0.02472647
2005,Nelson,Māori,-0.018510409
2005,Nelson,National,-0.027275989
2005,Nelson,NZ First,-0.014409217
2005,Nelson,Other,-0.000598321
2005,Nelson,United,0.00758271
2005,New Plymouth,ACT,-0.002674569
2005,New Plymouth,Alliance/Progressive,-0.004381738
2005,New Plymouth,Conservative,0.000952168
2005,New Plymouth,Green,0.000793736
2005,New Plymouth,Labour,-0.04414392
2005,New Plymouth,Māori,-0.016409729
2005,New Plymouth,National,0.064078476
2005,New Plymouth,NZ First,0.004598836
2005,New Plymouth,Other,0.000602809
2005,New Plymouth,United,-0.003416069
2005,North Shore,ACT,0.01521992
2005,North Shore,Alliance/Progressive,-0.005084038
2005,North Shore,Conservative,-0.002749982
2005,North Shore,Green,-0.001822055
2005,North Shore,Labour,-0.111146712
2005,North Shore,Māori,-0.018310949
2005,North Shore,National,0.145234373
2005,North Shore,NZ First,-0.012317926
2005,North Shore,Other,-0.003799781
2005,North Shore,United,-0.00522285
2005,Northcote,ACT,0.01122558
2005,Northcote,Alliance/Progressive,0.000217932
2005,Northcote,Conservative,-0.000548822
2005,Northcote,Green,-0.003011995
2005,Northcote,Labour,-0.018177821
2005,Northcote,Māori,-0.017010259
2005,Northcote,National,0.039330672
2005,Northcote,NZ First,-0.007008476
2005,Northcote,Other,-0.002298491
2005,Northcote,United,-0.00271832
2005,Northland,ACT,0.0004214
2005,Northland,Alliance/Progressive,-0.002584288
2005,Northland,Conservative,0.000349708
2005,Northland,Green,0.009776785
2005,Northland,Labour,-0.108946932
2005,Northland,Māori,-0.006012179
2005,Northland,National,0.068842012
2005,Northland,NZ First,0.043676474
2005,Northland,Other,0.001199719
2005,Northland,United,-0.0067227
2005,Ōtāhuhu,ACT,-0.00467601
2005,Ōtāhuhu,Alliance/Progressive,0.006018512
2005,Ōtāhuhu,Conservative,0.010752308
2005,Ōtāhuhu,Green,-0.034615156
2005,Ōtāhuhu,Labour,0.276651662
2005,Ōtāhuhu,Māori,-0.011509709
2005,Ōtāhuhu,National,-0.222595521
2005,Ōtāhuhu,NZ First,-0.013109087
2005,Ōtāhuhu,Other,0.008502589
2005,Ōtāhuhu,United,-0.01541959
2005,Pakuranga,ACT,0.02212295
2005,Pakuranga,Alliance/Progressive,-0.003783318
2005,Pakuranga,Conservative,0.000350488
2005,Pakuranga,Green,-0.027516966
2005,Pakuranga,Labour,-0.112316915
2005,Pakuranga,Māori,-0.019110669
2005,Pakuranga,National,0.146487817
2005,Pakuranga,NZ First,0.000886533
2005,Pakuranga,Other,-0.004699211
2005,Pakuranga,United,-0.00242071
2005,Palmerston North,ACT,-0.00577891
2005,Palmerston North,Alliance/Progressive,-0.000985578
2005,Palmerston North,Conservative,-0.002550492
2005,Palmerston North,Green,0.006071276
2005,Palmerston North,Labour,0.036294003
2005,Palmerston North,Māori,-0.016511589
2005,Palmerston North,National,-0.015886848
2005,Palmerston North,NZ First,-0.004124025
2005,Palmerston North,Other,-0.002900531
2005,Palmerston North,United,0.006372691
2005,Papakura,ACT,0.004119111
2005,Papakura,Alliance/Progressive,-0.001685438
2005,Papakura,Conservative,-0.000350932
2005,Papakura,Green,-0.025122485
2005,Papakura,Labour,-0.080782581
2005,Papakura,Māori,-0.014012089
2005,Papakura,National,0.099090157
2005,Papakura,NZ First,0.023670416
2005,Papakura,Other,-0.000600991
2005,Papakura,United,-0.004325169
2005,Port Waikato,ACT,0.00762295
2005,Port Waikato,Alliance/Progressive,-0.005183318
2005,Port Waikato,Conservative,-0.001249512
2005,Port Waikato,Green,-0.022016966
2005,Port Waikato,Labour,-0.139716915
2005,Port Waikato,Māori,-0.015210669
2005,Port Waikato,National,0.147087817
2005,Port Waikato,NZ First,0.032186533
2005,Port Waikato,Other,0.000800789
2005,Port Waikato,United,-0.00432071
2005,Rangitata,ACT,0.00302114
2005,Rangitata,Alliance/Progressive,0.004215032
2005,Rangitata,Conservative,-0.004049852
2005,Rangitata,Green,-0.015820656
2005,Rangitata,Labour,-0.026255201
2005,Rangitata,Māori,-0.020010779
2005,Rangitata,National,0.060342862
2005,Rangitata,NZ First,-0.000319126
2005,Rangitata,Other,0.000599779
2005,Rangitata,United,-0.0017232
2005,Rangitīkei,ACT,-0.00347937
2005,Rangitīkei,Alliance/Progressive,0.001913843
2005,Rangitīkei,Conservative,-0.002550492
2005,Rangitīkei,Green,-0.017723965
2005,Rangitīkei,Labour,-0.021794379
2005,Rangitīkei,Māori,-0.013412209
2005,Rangitīkei,National,0.034803014
2005,Rangitīkei,NZ First,0.021270896
2005,Rangitīkei,Other,-0.001100891
2005,Rangitīkei,United,0.002073551
2005,Remutaka,ACT,-0.00327705
2005,Remutaka,Alliance/Progressive,0.001116682
2005,Remutaka,Conservative,-0.000149512
2005,Remutaka,Green,-0.010516966
2005,Remutaka,Labour,0.073583085
2005,Remutaka,Māori,-0.015610669
2005,Remutaka,National,-0.055512183
2005,Remutaka,NZ First,-0.007913467
2005,Remutaka,Other,-0.000299211
2005,Remutaka,United,0.01857929
2005,Rotorua,ACT,-0.00317586
2005,Rotorua,Alliance/Progressive,-0.002582348
2005,Rotorua,Conservative,0.004851718
2005,Rotorua,Green,-0.014813176
2005,Rotorua,Labour,-0.079783981
2005,Rotorua,Māori,-0.009009459
2005,Rotorua,National,0.062532992
2005,Rotorua,NZ First,0.038696094
2005,Rotorua,Other,-0.001698431
2005,Rotorua,United,0.00498245
2005,Selwyn,ACT,0.005929252
2005,Selwyn,Alliance/Progressive,0.004121603
2005,Selwyn,Conservative,-0.005048792
2005,Selwyn,Green,-0.005102682
2005,Selwyn,Labour,-0.116229048
2005,Selwyn,Māori,-0.019410159
2005,Selwyn,National,0.138346085
2005,Selwyn,NZ First,-0.010999693
2005,Selwyn,Other,-0.004155657
2005,Selwyn,United,0.012891144
2005,Southland,ACT,0.003819171
2005,Southland,Alliance/Progressive,-0.003285118
2005,Southland,Conservative,-0.003350332
2005,Southland,Green,-0.010025504
2005,Southland,Labour,-0.099378862
2005,Southland,Māori,-0.019311029
2005,Southland,National,0.146380699
2005,Southland,NZ First,-0.018421165
2005,Southland,Other,-0.000101091
2005,Southland,United,0.003673231
2005,Taieri,ACT,-0.00637705
2005,Taieri,Alliance/Progressive,0.001916682
2005,Taieri,Conservative,-0.002549512
2005,Taieri,Green,-0.012116966
2005,Taieri,Labour,0.132183085
2005,Taieri,Māori,-0.019210669
2005,Taieri,National,-0.078912183
2005,Taieri,NZ First,-0.011413467
2005,Taieri,Other,-0.001099211
2005,Taieri,United,-0.00242071
2005,Takanini,ACT,-0.00047851
2005,Takanini,Alliance/Progressive,0.000815372
2005,Takanini,Conservative,0.002749468
2005,Takanini,Green,-0.032319006
2005,Takanini,Labour,0.03763841
2005,Takanini,Māori,-0.013011479
2005,Takanini,National,0.010347861
2005,Takanini,NZ First,-0.001818976
2005,Takanini,Other,9.98291E-05
2005,Takanini,United,-0.00402297
2005,Tāmaki,ACT,0.01272573
2005,Tāmaki,Alliance/Progressive,-0.005282618
2005,Tāmaki,Conservative,-0.004749242
2005,Tāmaki,Green,-0.013713066
2005,Tāmaki,Labour,-0.113287332
2005,Tāmaki,Māori,-0.017310289
2005,Tāmaki,National,0.175844323
2005,Tāmaki,NZ First,-0.020509827
2005,Tāmaki,Other,-0.003798641
2005,Tāmaki,United,-0.00991904
2005,Tāmaki Makaurau,ACT,-0.01287727
2005,Tāmaki Makaurau,Alliance/Progressive,-0.008283718
2005,Tāmaki Makaurau,Conservative,0.018247918
2005,Tāmaki Makaurau,Green,-0.020120226
2005,Tāmaki Makaurau,Labour,0.134028771
2005,Tāmaki Makaurau,Māori,0.253461874
2005,Tāmaki Makaurau,National,-0.349716132
2005,Tāmaki Makaurau,NZ First,-0.003318826
2005,Tāmaki Makaurau,Other,0.010798759
2005,Tāmaki Makaurau,United,-0.02222115
2005,Taranaki-King Country,ACT,0.00452099
2005,Taranaki-King Country,Alliance/Progressive,-0.003784168
2005,Taranaki-King Country,Conservative,0.002949448
2005,Taranaki-King Country,Green,-0.013420896
2005,Taranaki-King Country,Labour,-0.138343992
2005,Taranaki-King Country,Māori,-0.013511429
2005,Taranaki-King Country,National,0.143734523
2005,Taranaki-King Country,NZ First,0.021678674
2005,Taranaki-King Country,Other,-0.000100151
2005,Taranaki-King Country,United,-0.003723
2005,Taupō,ACT,-0.00167705
2005,Taupō,Alliance/Progressive,-0.003083318
2005,Taupō,Conservative,-0.002449512
2005,Taupō,Green,-0.018016966
2005,Taupō,Labour,-0.055116915
2005,Taupō,Māori,-0.012210669
2005,Taupō,National,0.076787817
2005,Taupō,NZ First,0.019286533
2005,Taupō,Other,-0.002199211
2005,Taupō,United,-0.00132071
2005,Tauranga,ACT,-0.005578
2005,Tauranga,Alliance/Progressive,-0.003984148
2005,Tauranga,Conservative,0.001149628
2005,Tauranga,Green,-0.017720466
2005,Tauranga,Labour,-0.116146212
2005,Tauranga,Māori,-0.018010979
2005,Tauranga,National,0.062542642
2005,Tauranga,NZ First,0.079772864
2005,Tauranga,Other,-0.001600001
2005,Tauranga,United,0.01957467
2005,Te Tai Hauāuru,ACT,-0.01367761
2005,Te Tai Hauāuru,Alliance/Progressive,-0.009884278
2005,Te Tai Hauāuru,Conservative,0.009843571
2005,Te Tai Hauāuru,Green,-0.022329121
